step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,41,1,0.24867732148745564,0.0,0.0,0.4227267539364693,0.0,0.0,,,,,,
2,74,2,0.33408884239830516,0.0,0.0,,,,,,,,,
3,115,3,0.250343659277527,0.0,0.0,,,,,,,,,
4,164,4,0.2362154302424824,0.0,0.0,,,,,,,,,
5,237,5,0.1400802426077482,0.0,0.0,,,,,,,,,
6,326,6,0.12258411570095631,0.0,0.0,,,,,,,,,
7,391,7,0.13965201841110683,0.0,0.0,,,,,,,,,
8,480,8,0.08955861727937935,0.0,0.0,,,,,,,,,
9,569,9,0.07621213079351451,0.0,0.0,0.11335867255621997,0.0,0.0,0.6666666865348816,0.6666666666666666,1.0,0.5,0.7916666666666666,0.8
10,634,10,0.08835603976884158,0.0,0.0,,,,,,,,,
11,675,11,0.05704073360171061,1.0,1.0,,,,,,,,,
12,724,12,0.05354641833605152,1.0,1.0,,,,,,,,,
13,813,13,0.06953751231387617,0.0,0.0,,,,,,,,,
14,846,14,0.0674156617949484,1.0,1.0,,,,,,,,,
15,919,15,0.047890774370007425,1.0,1.0,,,,,,,,,
16,960,16,0.05299445743352408,1.0,1.0,,,,,,,,,
17,1025,17,0.07965306267258712,0.0,0.0,0.04969779640586543,1.0,1.0,,,,,,
18,1114,18,0.04581010147314705,1.0,1.0,,,,0.6666666865348816,0.6666666666666666,1.0,1.0,1.0,0.8
19,1155,19,0.04511044707615839,1.0,1.0,,,,,,,,,
20,1244,20,0.04304184102266763,1.0,1.0,,,,,,,,,
21,1285,21,0.0431517511716229,1.0,1.0,,,,,,,,,
22,1318,22,0.0688775934113437,1.0,1.0,,,,,,,,,
23,1367,23,0.06359825085669096,1.0,1.0,,,,,,,,,
24,1440,24,0.05167952036251235,1.0,1.0,,,,,,,,,
25,1505,25,0.045074909636414306,1.0,1.0,0.06916452526161447,1.0,1.0,,,,,,
26,1546,26,0.04205981842236361,1.0,1.0,,,,,,,,,
27,1635,27,0.040587463524729674,1.0,1.0,,,,0.6666666865348816,1.0,0.5,1.0,1.0,0.6666666666666666
28,1724,28,0.041244449756043404,1.0,1.0,,,,,,,,,
29,1757,29,0.06297279907721531,1.0,1.0,,,,,,,,,
30,1830,30,0.05075445048987198,1.0,1.0,,,,,,,,,
31,1871,31,0.04698825820751154,1.0,1.0,,,,,,,,,
32,1920,32,0.05700872770505156,1.0,1.0,,,,,,,,,
33,1985,33,0.044846990063988415,1.0,1.0,0.051771678108692876,1.0,1.0,0.6666666865348816,1.0,0.5,1.0,1.0,0.6666666666666666
